customer_key,customer_name,email,city,country,segment
1453064,Emma Scott,emma_scott@outlook.com,Nashville,US,Consumer
342257,Fatima Ali,fali@outlook.com,Dallas,UK,Consumer
1659717,Juana Garcia,juana.garcia@yahoo.com,San Antonio,US,Home Office
1198298,Deepak Das,deepak132@protonmail.com,Fort Worth,US,Consumer
1826184,Catalina Chavez,catalina_chavez@outlook.com,Austin,CA,Consumer
1843008,Ming Luo,mingluo@outlook.com,Seattle,US,Consumer
588730,James Jones,james44@gmail.com,Boston,UK,Consumer
76000,Mateo Jimenez,mateo975@gmail.com,Charlotte,DE,Corporate
1259355,Steven Young,syoung@yahoo.com,Columbus,US,Home Office
951600,Daniel Mitchell,daniel.mitchell@gmail.com,Phoenix,DE,Home Office
1668128,Lucia Romero,lucia.rom@protonmail.com,Jacksonville,UK,Home Office
1011610,Yan Zhou,yzhou@yahoo.com,Fort Worth,IN,Consumer
125010,Veronica Rodriguez,vrodriguez@icloud.com,Austin,US,Consumer
1178755,Amanda Phillips,amanda.phi@yahoo.com,Nashville,IN,Consumer
97431,Jorge Perez,jorge932@gmail.com,San Jose,UK,Consumer
478106,Antonio Conti,antonioconti@yahoo.com,Dallas,BR,Consumer
449619,Javier Garcia,javiergarcia@outlook.com,Portland,US,Consumer
1858346,Lakshmi Cook,lcook@outlook.com,San Diego,UK,Consumer
1651984,Ying He,ying889@gmail.com,Dallas,CA,Home Office
143885,Gaurav Patel,gaurav.patel@outlook.com,San Jose,US,Corporate
1727199,Julien Girard,jgirard@gmail.com,Jacksonville,US,Consumer
312923,Mia Walker,mwalker@icloud.com,Los Angeles,IN,Consumer
1840028,Leila Ali,leila324@outlook.com,Chicago,DE,Corporate
1206632,Ines Vasquez,ivasquez@gmail.com,Dallas,US,Corporate
947644,Paolo Gallo,paologal@gmail.com,Fort Worth,IN,Corporate
1394186,Sota Hayashi,sota.hay@gmail.com,Houston,US,Consumer
1522552,DeShawn Okeke,deshawn.oke@hotmail.com,Los Angeles,US,Consumer
1834906,Rebecca Morgan,rebecca.morgan@gmail.com,Denver,US,Home Office
879048,Fatima Ali,fatimaali@protonmail.com,Seattle,US,Corporate
719720,Anna Zimmermann,anna131@protonmail.com,Fort Worth,DE,Corporate
1345461,Oscar Ruiz,oscar698@gmail.com,Los Angeles,IN,Home Office
255028,Kai Xie,kai275@yahoo.com,San Jose,US,Corporate
438602,Amit Shah,amit583@gmail.com,Houston,US,Corporate
1704370,Rebecca Miller,rebecca.mil@gmail.com,Dallas,US,Corporate
1634629,Carlos Garcia,carlos917@hotmail.com,Seattle,UK,Consumer
1448804,Ji-hoon Oh,jihoonoh@yahoo.com,Dallas,US,Consumer
1106387,Claudia Garcia,cgarcia@gmail.com,Columbus,BR,Consumer
346767,Richard White,richard.whi@gmail.com,Boston,IN,Consumer
1503438,Daniel Howard,daniel.how@yahoo.com,Denver,CA,Consumer
56196,Adriana Gonzalez,adrianagon@gmail.com,Portland,DE,Consumer
1614013,Nikhil Joshi,nikhil45@gmail.com,Austin,US,Consumer
1410538,Louise Michel,louise.mic@gmail.com,Seattle,US,Consumer
404217,Kofi Eze,kofi269@yahoo.com,Nashville,UK,Corporate
1460430,Ji-hoon Han,jhan@gmail.com,Los Angeles,IN,Consumer
1507794,Amadou Owusu,amadou.owu@outlook.com,San Jose,US,Corporate
692905,Carmen Ruiz,carmen.ruiz@outlook.com,Portland,IN,Consumer
1338549,Thomas Wright,thomaswright@gmail.com,San Jose,US,Consumer
290019,Henry Cox,henry.cox@gmail.com,San Antonio,US,Consumer
604568,Lisa Taylor,lisatay@outlook.com,Columbus,US,Consumer
626138,Elena Aguilar,elena.aguilar@hotmail.com,San Diego,US,Consumer
1756730,Gabriela Ramos,gabriela.ram@outlook.com,Charlotte,IN,Consumer
1357598,Michelle Walker,mwalker@gmail.com,Jacksonville,CA,Consumer
1309993,Beatrice Conti,beatrice668@gmail.com,Portland,BR,Consumer
1090085,Kemi Okafor,kemi.okafor@gmail.com,San Diego,IN,Corporate
1249031,Andreas Meyer,ameyer@protonmail.com,Jacksonville,BR,Corporate
748438,Pilar Martinez,pilar294@outlook.com,Phoenix,UK,Consumer
1992506,Richard Campbell,richard_campbell@gmail.com,New York,BR,Consumer
1072050,Antonio Garcia,antonio_gar@gmail.com,San Diego,US,Consumer
1303816,Emma Ricci,ericci@yahoo.com,Charlotte,IN,Consumer
1694440,Marion Dubois,marion216@gmail.com,Portland,UK,Consumer
175070,Kenneth Bailey,kenneth_bai@gmail.com,Houston,CA,Consumer
575998,Ren Watanabe,rwatanabe@outlook.com,Portland,UK,Corporate
648553,Paolo Lombardi,paolo.lombardi@gmail.com,Columbus,US,Corporate
483141,Jade Fournier,jade813@protonmail.com,Jacksonville,CA,Consumer
1187022,Markus Koch,markus312@hotmail.com,Seattle,BR,Corporate
183201,Leonardo Rogers,leonardo.rog@gmail.com,Columbus,US,Corporate
1259361,Steven Bailey,sbailey@gmail.com,San Antonio,CA,Consumer
1644075,Chae-won Shin,chaewon.shin@outlook.com,Chicago,CA,Consumer
87781,Edward Rogers,edward214@gmail.com,Charlotte,UK,Corporate
1520456,Joshua Cooper,jcooper@gmail.com,Fort Worth,DE,Consumer
1236627,Mateo Gonzalez,mgonzalez@outlook.com,Columbus,US,Home Office
961152,Harper Stewart,harper.ste@hotmail.com,San Jose,US,Home Office
1546303,Bin Zhang,bin798@gmail.com,Jacksonville,US,Consumer
1178883,Jessica Taylor,jtaylor@gmail.com,Houston,US,Consumer
558790,Mariana Garcia,mariana866@outlook.com,Dallas,DE,Consumer
966317,Sara Gallo,sgallo@gmail.com,Dallas,US,Home Office
863989,Hye-jin Song,hsong@hotmail.com,Denver,DE,Consumer
1123807,Emeka Mensah,emensah@gmail.com,Dallas,DE,Consumer
981599,Gabriela Ramos,gabriela.ram@yahoo.com,Los Angeles,US,Consumer
928894,Andrea Moretti,andrea911@yahoo.com,Phoenix,IN,Consumer
1295850,Qing Deng,qdeng@gmail.com,Portland,UK,Consumer
376898,Grace Harris,gharris@gmail.com,Portland,CA,Corporate
1179324,Deepak Pillai,deepak.pillai@gmail.com,Dallas,UK,Corporate
1702870,Anna Lange,annalan@outlook.com,San Diego,UK,Consumer
884831,Donna Campbell,donna134@gmail.com,Columbus,BR,Home Office
459605,Chloe Cooper,chloe561@yahoo.com,San Jose,CA,Home Office
104071,Tariq Said,tariqsai@gmail.com,New York,DE,Consumer
652485,Jessica Mitchell,jessica.mit@gmail.com,San Antonio,US,Home Office
1431677,Deepak Kapoor,deepak.kapoor@outlook.com,San Antonio,BR,Consumer
923569,Anjali Rao,arao@icloud.com,Los Angeles,UK,Corporate
1746570,Pranav Reddy,pranav.reddy@outlook.com,Boston,CA,Consumer
1001886,Rashid Aziz,rashid.azi@gmail.com,Houston,UK,Corporate
626875,Mia Jackson,mia.jac@gmail.com,San Diego,US,Corporate
1251627,Evelyn Baker,evelyn868@gmail.com,Charlotte,DE,Consumer
1735959,Richard Wright,richard.wri@protonmail.com,Nashville,US,Home Office
168596,Jennifer Richardson,jennifer.ric@gmail.com,Philadelphia,IN,Corporate
94235,William Anderson,wanderson@outlook.com,Phoenix,DE,Home Office
773204,Mateo Ortiz,mortiz@yahoo.com,Nashville,US,Home Office
396794,Peng Wu,pwu@gmail.com,Nashville,CA,Consumer
425216,Deborah Davis,deborah.davis@yahoo.com,Phoenix,DE,Home Office
1701178,Marco Moretti,marco_moretti@gmail.com,Houston,UK,Home Office
290477,Manuel Morales,manuel_mor@outlook.com,Los Angeles,BR,Corporate
1163548,Kemi Nwosu,knwosu@yahoo.com,Chicago,CA,Corporate
778013,Chidi Ndiaye,chidi.ndiaye@gmail.com,Austin,BR,Home Office
649405,Arjun Bhat,arjun_bha@yahoo.com,San Diego,US,Consumer
1912738,Wolfgang Schröder,wolfgang761@gmail.com,Denver,DE,Consumer
1075994,Ananya Sharma,ananyasha@icloud.com,Dallas,US,Home Office
1896285,Ananya Malhotra,ananyamalhotra@icloud.com,Jacksonville,US,Consumer
247591,Kevin Thomas,kevin_tho@gmail.com,San Jose,US,Corporate
1757580,Yong Roberts,yong859@gmail.com,Portland,BR,Corporate
809854,Liam Evans,liam567@icloud.com,Portland,US,Consumer
725006,Karim Ali,kali@outlook.com,Charlotte,IN,Consumer
652074,Xin Liu,xin300@outlook.com,Los Angeles,US,Corporate
1790682,Anthony Evans,anthony428@gmail.com,San Jose,IN,Consumer
390138,Joseph Harris,joseph881@gmail.com,San Jose,IN,Corporate
189343,Ming Guo,ming370@gmail.com,Phoenix,IN,Home Office
975319,Mia Williams,mia960@gmail.com,Chicago,DE,Consumer
1434494,Veronica Ruiz,veronicarui@gmail.com,Philadelphia,CA,Consumer
592245,Luis Rodriguez,lrodriguez@gmail.com,Fort Worth,UK,Corporate
1950761,Owen Anderson,oanderson@outlook.com,San Jose,US,Corporate
227650,Ronald Green,ronald.green@yahoo.com,Nashville,IN,Consumer
146491,Hector Torres,htorres@icloud.com,San Diego,US,Home Office
1614938,Farah Aziz,farah.azi@yahoo.com,Portland,US,Corporate
825024,Katharina Hofmann,khofmann@protonmail.com,Houston,DE,Corporate
18507,Amit Hegde,ahegde@outlook.com,Los Angeles,US,Consumer
885778,Lisa Morgan,lisa824@gmail.com,Denver,IN,Corporate
1062052,Edward Howard,ehoward@outlook.com,New York,US,Home Office
1563903,Elizabeth Parker,elizabeth_parker@icloud.com,Philadelphia,BR,Corporate
1851954,Carlos Ramirez,carlosram@gmail.com,San Jose,CA,Home Office
764405,So-yeon Song,soyeon866@yahoo.com,Phoenix,IN,Home Office
1087614,Carol Rogers,carol924@gmail.com,Jacksonville,BR,Corporate
1237017,Joseph Davis,joseph.davis@gmail.com,Houston,DE,Corporate
669579,Kavya Bhat,kavya.bha@icloud.com,Nashville,US,Consumer
9758,Kwame Sane,kwame.san@icloud.com,Denver,UK,Home Office
352019,Jennifer Thompson,jennifertho@outlook.com,Denver,DE,Consumer
952413,Sophia Ward,sophiawar@gmail.com,Columbus,US,Home Office
1676483,Katharina Becker,kbecker@gmail.com,San Antonio,US,Home Office
1324419,Michelle Harris,michelle.harris@yahoo.com,Nashville,BR,Consumer
714062,Mason Reed,mason_reed@icloud.com,San Jose,UK,Home Office
802822,Timothy Robinson,timothy.robinson@icloud.com,Houston,US,Consumer
284117,Lucia Flores,lucia.flores@gmail.com,Nashville,US,Corporate
747285,Amadou Boateng,amadou780@outlook.com,San Jose,UK,Corporate
1476841,Kwame Howard,kwame.how@gmail.com,Denver,US,Home Office
1120592,Hannah Martin,hannahmar@gmail.com,Seattle,DE,Consumer
1236527,Charles Cooper,charles.cooper@hotmail.com,San Diego,BR,Consumer
